S.N.,Car Name,Model,Chasis Number,Colour,Mileage,Engine,Grade,Details,Price,Landing,Location,imgURL,Picture,Status,Drive Image,First Image
145,Toyota Corolla Axio Hybrid Package,2019,NKE165-7219595,White,"125,162",1500,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1FodRNSC496Yliws8kyXOa55x0HEIeD4t&sz=w1000|https://drive.google.com/thumbnail?id=1lnJZk0-Lv9kyHEug6E5x8TpVPJmZsPSF&sz=w1000,https://drive.google.com/thumbnail?id=1FodRNSC496Yliws8kyXOa55x0HEIeD4t&sz=w1000
146,Toyota Corolla Axio 1.5X Package,2019,NRE161-0071763,White,"157,361",1490,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1a_ogz7CV5-sMb0zv01QY1hFJyjm-TLM7&sz=w1000|https://drive.google.com/thumbnail?id=1h6yrDaqi2cWZN1V0SJeiut3HGQrwYwTS&sz=w1000|https://drive.google.com/thumbnail?id=1MUKTHd3A_vf8KsKXvzD-dikMLtSN--Zt&sz=w1000|https://drive.google.com/thumbnail?id=12g28hTD6pgnyZLUKaFrT6xcu6GaDahl3&sz=w1000,https://drive.google.com/thumbnail?id=1a_ogz7CV5-sMb0zv01QY1hFJyjm-TLM7&sz=w1000
147,Toyota Corolla Axio 1.5X Package,2019,NRE161-0076669,Silver,"143,600",1500,3.5,"Toyota Safety Sense, Keyless Entry, ETC",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=115amdyHMq_YQI-LzhvmUe531MekIBg4I&sz=w1000|https://drive.google.com/thumbnail?id=1xK0vzk6At9bUwzk0CiIe5V2UKcPs9kna&sz=w1000|https://drive.google.com/thumbnail?id=1m0FEmNAdFlo-LEnV7ft2FgNofGzFlhb5&sz=w1000|https://drive.google.com/thumbnail?id=1syjYSYjL3DDIU-21pbsG6F_X8vDHhK5x&sz=w1000,https://drive.google.com/thumbnail?id=115amdyHMq_YQI-LzhvmUe531MekIBg4I&sz=w1000
148,Toyota Premio 1.5F Package,2021,NZT260-3230293,White,"95,451",1500,R,"Navigation, ETC",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1CMeIAdQUGZFZ9elkleniOYrLWs504FNk&sz=w1000|https://drive.google.com/thumbnail?id=1XF_0FKzdqk8LJFhme7wTPqwFzlRnwPec&sz=w1000|https://drive.google.com/thumbnail?id=1XOewqqtSV-godiAooYNGCHwyktIly7lk&sz=w1000|https://drive.google.com/thumbnail?id=1ABlyOI-XXi4xpXNWjCyAfOdQ00xtdbjO&sz=w1000,https://drive.google.com/thumbnail?id=1CMeIAdQUGZFZ9elkleniOYrLWs504FNk&sz=w1000
149,Toyota Premio 1.5F Package,2021,NZT260-3230870,White,"73,354",1500,4.5,"Navigation, ETC",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1rjOvJKDjFU-cWE5IToVAUyS_642Q7dz3&sz=w1000|https://drive.google.com/thumbnail?id=1sctwYbMQnn153et4p22e4PIj3k72wV9h&sz=w1000|https://drive.google.com/thumbnail?id=1KHISe9EIXKhk4El-zu0kXyRlGzIztot_&sz=w1000|https://drive.google.com/thumbnail?id=1GlIoKUzzJr_etYyDDxkinfFg6gJdiECa&sz=w1000,https://drive.google.com/thumbnail?id=1rjOvJKDjFU-cWE5IToVAUyS_642Q7dz3&sz=w1000
150,Toyota Premio 1.5F Package,2021,NZT260-3231067,Silver,"83,228",1500,4,"Navigation, ETC",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1cxP9lmFWNOtcL1qHqNPkgwV8fm0mZeun&sz=w1000|https://drive.google.com/thumbnail?id=1vqGSUrsyRQ5ohT0uYbD2Xjyjzkq7_VuW&sz=w1000|https://drive.google.com/thumbnail?id=17vFokgatyyqnw6PrTLZWTnwtQH6ZBh3f&sz=w1000|https://drive.google.com/thumbnail?id=1xOe-9kih5_wnbJdVeB7vaHrSDrGGDjcV&sz=w1000,https://drive.google.com/thumbnail?id=1cxP9lmFWNOtcL1qHqNPkgwV8fm0mZeun&sz=w1000
151,Toyota C-HR G Package,2019,ZYX10-2196262,White,"101, 400",1800,4,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1dNgcitZFK--BfGuQHmw_4tCseLz_Y3jH&sz=w1000|https://drive.google.com/thumbnail?id=1d1L9z-EewCyYQAo8Rrq2uZTsDDfo3HUv&sz=w1000|https://drive.google.com/thumbnail?id=1kB5rVRwdMhdRD3L8RCz-_6pbGF5pqx_m&sz=w1000|https://drive.google.com/thumbnail?id=13j6zv6iQDB6VwaE-kgYKIBcHO_xtXQp6&sz=w1000|https://drive.google.com/thumbnail?id=1IRsTXn8wzDJzUyctmAwCHGecjzmfhMZL&sz=w1000|https://drive.google.com/thumbnail?id=1uzrkFPY_zfn5qiuCbRcskuCmoINx47Rn&sz=w1000|https://drive.google.com/thumbnail?id=1oRz_pqFnhLgOk8gCtLOHON0AcR79CmY9&sz=w1000|https://drive.google.com/thumbnail?id=1UvajnLfiSkqOa9dj8zqrMUn1VUVyNJoJ&sz=w1000,https://drive.google.com/thumbnail?id=1dNgcitZFK--BfGuQHmw_4tCseLz_Y3jH&sz=w1000
152,Toyota Corolla Cross Hybrid Z Package,2021,ZVG11-1007479,Red,"66, 540",1800,4.5,"Toyota Safety Sense, Display Audio, LED Headlights, Power Back Doors, Seat Heater",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1ca_WBobBkTh0vio43iSvp0Ec6aAwRfW6&sz=w1000|https://drive.google.com/thumbnail?id=1cQXg4rWwq2c2H8ok-DI9BJ4y3hZeql-w&sz=w1000|https://drive.google.com/thumbnail?id=12pnz2ExmiYg-Xh56msc3XYVd66lmf7FJ&sz=w1000|https://drive.google.com/thumbnail?id=1LbnTx0hSwddOgvtcupkzIwfT_twwq27k&sz=w1000|https://drive.google.com/thumbnail?id=1ZSYiwSdp99aDYroyHghD4qRsyoC6pBrI&sz=w1000|https://drive.google.com/thumbnail?id=13pkIR28fgAYagj-ACmbpFCdXti-385fR&sz=w1000|https://drive.google.com/thumbnail?id=1A5RW6tzONYTtXEcTy5_h0ztIYtQSVBu0&sz=w1000,https://drive.google.com/thumbnail?id=1ca_WBobBkTh0vio43iSvp0Ec6aAwRfW6&sz=w1000
157,Toyota Premio 1.5 L Package,2019,NZT260-3218691,White,"33,754",1500,R,"Push Start, Smart Key, Toyota Safety Sense",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1KfUAG4I9qVEiKNjzfQcffC38xkYtlgRU&sz=w1000,https://drive.google.com/thumbnail?id=1KfUAG4I9qVEiKNjzfQcffC38xkYtlgRU&sz=w1000
159,Toyota Hiace Van DX Package,2019,,White,"144, 999",2000,3,"SD Navigation, Back Camera, Keyless, ETC, Toyota Safety Sense",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1gEWqa70MmqvFQaAoRgUL4fn_EHzg6vfP&sz=w1000|https://drive.google.com/thumbnail?id=1AOg9to_Hf0aM12EG6zX5j4w7U-I5Csmg&sz=w1000|https://drive.google.com/thumbnail?id=1XOfpXot9m_kGnawp3BCmvnAEsbWsg-zA&sz=w1000|https://drive.google.com/thumbnail?id=1sxyxCCoLX2FnklQMw4MfF50LbPcuvSk-&sz=w1000|https://drive.google.com/thumbnail?id=1Z5cYfBJKo4sNtZ489Pxqvw-OX_wTKCU1&sz=w1000|https://drive.google.com/thumbnail?id=183AEymgBunf934D_v8LjUTHxoJZ2PDou&sz=w1000|https://drive.google.com/thumbnail?id=12FXsZsKkxpcFSGZlFJTT76EuwJfpH6mz&sz=w1000|https://drive.google.com/thumbnail?id=1xdj2ZQJHUYgSZ4H3xrAuCVFZ7_APzupB&sz=w1000|https://drive.google.com/thumbnail?id=13hwMsxFDQIKPrRn2izEc0bzXqnK5dxV0&sz=w1000|https://drive.google.com/thumbnail?id=10_CdlgcLjXlfMwM2tuqbv9wu1Xy1RVFm&sz=w1000,https://drive.google.com/thumbnail?id=1gEWqa70MmqvFQaAoRgUL4fn_EHzg6vfP&sz=w1000
160,Toyota Hiace Van DX Package,2020,TRH200-5044697,Silver,"153,089",1990,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1NKB-zamovqPPIAtWO9EX91uU87BBnXfY&sz=w1000|https://drive.google.com/thumbnail?id=1If4jtvd3Jpj0-_NPqScYaCGm3CWgjs2A&sz=w1000|https://drive.google.com/thumbnail?id=1UjhgrJ3Mgcw29uIsVtY4RWfFkJq_ZL1X&sz=w1000|https://drive.google.com/thumbnail?id=1xzOk7vRZpp_kKrNFFz9wQnVDXwbk--p-&sz=w1000|https://drive.google.com/thumbnail?id=1HH013wCYjvyESKzo316ONFotC2K4x4d1&sz=w1000|https://drive.google.com/thumbnail?id=1ihxQvSirUl4CUTfwkVOdqBdsgmj23ies&sz=w1000|https://drive.google.com/thumbnail?id=11UV3OAtSB_63iAO6kltmGhRhKcmrO5ak&sz=w1000|https://drive.google.com/thumbnail?id=1e0oSiLTWnj6FsvZCBJ9LSR5R6z-1RBIG&sz=w1000|https://drive.google.com/thumbnail?id=10Dr4-CKLilP7Z2Vy9KcQIlycnOL9l1cV&sz=w1000|https://drive.google.com/thumbnail?id=1zOzQZprWkfThfFFhkZLlDgCyPKQpL5NM&sz=w1000|https://drive.google.com/thumbnail?id=1NESKA-UVrxpg_hHZ7CjADfpmweEpptgZ&sz=w1000|https://drive.google.com/thumbnail?id=1ViSHG5cOTNDsJN1nj-V-j0KJC370rs_J&sz=w1000|https://drive.google.com/thumbnail?id=1p8YaCMKBmVR1wvO9Abq-2OQO7i0VMSfb&sz=w1000|https://drive.google.com/thumbnail?id=1gl5Hl0EiEAVYa8WadpLW542H37_P0ffu&sz=w1000|https://drive.google.com/thumbnail?id=1EqGJEv2ZJeEP7Xk95A-eJ3NNfxGw3gyt&sz=w1000,https://drive.google.com/thumbnail?id=1NKB-zamovqPPIAtWO9EX91uU87BBnXfY&sz=w1000
161,Toyota Hiace Van Long DX Package,2019,38F-TRH2OOV,White,"31,298",2000,R,"Toyota Safety Sense, Built in ETC, Clearance Sonar",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1aY56DcDn9fJcsdz_p22w-7Mcv8k1SDc_&sz=w1000|https://drive.google.com/thumbnail?id=1Sxw99MQ4PbDEn7cV2EYIlWun1D7qz5RK&sz=w1000|https://drive.google.com/thumbnail?id=1fufYFzt19IaV0xXiZiQgdcVxZlA8LIMy&sz=w1000|https://drive.google.com/thumbnail?id=1nxttkT234bqW6TM-dGfJansRBzlOawtT&sz=w1000|https://drive.google.com/thumbnail?id=1-S_9iL0-iwEXXuK5mdRNMd0cEwU4W9-b&sz=w1000|https://drive.google.com/thumbnail?id=1Wuu_R4Ii3gRcKfsN2rQTYAbmde0RAvwP&sz=w1000|https://drive.google.com/thumbnail?id=1ratvb532sZtDH_vYkg5ca21cn4LRjtw7&sz=w1000|https://drive.google.com/thumbnail?id=1a1rhMEGUVerA0tYHBt-MmMTK_GUNU840&sz=w1000|https://drive.google.com/thumbnail?id=1KQE2zo0E6ka_ChskSUknwnXfnf-Ic1lo&sz=w1000|https://drive.google.com/thumbnail?id=1mYbPNQm0MTquNiKugV5mXTHAZSKROzy8&sz=w1000|https://drive.google.com/thumbnail?id=1_d1FteKuF74u5DD9KvlWFIPyn0G6_8Zx&sz=w1000|https://drive.google.com/thumbnail?id=1AYllsGGSu_BYXgucsiZU4YqvTxsjlF6w&sz=w1000,https://drive.google.com/thumbnail?id=1aY56DcDn9fJcsdz_p22w-7Mcv8k1SDc_&sz=w1000
162,Toyota Harrier Hybrid Z leather package,2021,6AA- AXUH80,White,"84,514",2500,4,"Toyota Safety Sense, Digital TV, Back Monitor",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1gvVssfCReW3YlE0X62iUsuW6wJavn3PU&sz=w1000|https://drive.google.com/thumbnail?id=1O4EG3FAne0ZLsWCox-bGfl0N6VwIUOp8&sz=w1000|https://drive.google.com/thumbnail?id=1Wau2ZBUgHK9_4ZGTzd_S32cmi9Fr2-uA&sz=w1000|https://drive.google.com/thumbnail?id=1yYvI-mk-A1fTEoA2R-w2HocoHLki4Oyw&sz=w1000|https://drive.google.com/thumbnail?id=1nSf0x5zBc2XYDRsFxSeS3ZOVz-MJm5ZF&sz=w1000|https://drive.google.com/thumbnail?id=1QxH7OCErCQQKVQgCOGr5o9yLwkCurHcr&sz=w1000|https://drive.google.com/thumbnail?id=1lzSulqc8aAjl0iXj5yDMtLhkF8vpvGl2&sz=w1000|https://drive.google.com/thumbnail?id=1h5sxLQuCc-iZ_QTyFZMy_Dah7D-tMoel&sz=w1000|https://drive.google.com/thumbnail?id=1b2Vy4udyFQ71i42bFz7xCU8ByNK-wkmi&sz=w1000|https://drive.google.com/thumbnail?id=1cDGYv-Qj_XHUMtmtEMU5pi9aiGx1KcDg&sz=w1000|https://drive.google.com/thumbnail?id=1XtdlB6sWWwuIY4dI73_mdG__1R-8MROj&sz=w1000|https://drive.google.com/thumbnail?id=1ekGN2FWbXutQUNeUBYsjhORrgdrTpIDy&sz=w1000|https://drive.google.com/thumbnail?id=11BpUmJYl7cQOjJIvnOFhRI6kj0kOCnSQ&sz=w1000,https://drive.google.com/thumbnail?id=1gvVssfCReW3YlE0X62iUsuW6wJavn3PU&sz=w1000
163,Toyota Hiace Van DX Package,2019,TRH200-5041356,Silver,"52,783",2000,R,"Toyota Safety Sense, Navigation System, ETC, Back Camera",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1jLITRL8-QDTVGUhcag1AEWSYwd6RASH4&sz=w1000|https://drive.google.com/thumbnail?id=1JSYcMBW49EpvKiIXR9-tsdkLtcq3wvgc&sz=w1000|https://drive.google.com/thumbnail?id=1HWtSII7W8vbXy0EJXQI8DsMCpIJhv877&sz=w1000|https://drive.google.com/thumbnail?id=1cqy4PO4kVBrr1pSwuVYyVlpl9yahVM0x&sz=w1000|https://drive.google.com/thumbnail?id=1so69m-gOJoT_kxzBh-wbCyBdQTBr3aSB&sz=w1000|https://drive.google.com/thumbnail?id=1mlTXShNaN9woPnlW3_-JBS1uAAT74g1x&sz=w1000|https://drive.google.com/thumbnail?id=1l1HFmZN0UZPhsrEmW0IO8hBGQ2OMy1kV&sz=w1000|https://drive.google.com/thumbnail?id=1HMbaOJSkWU3Dh8CI42COW9xXPRAQmCZT&sz=w1000,https://drive.google.com/thumbnail?id=1jLITRL8-QDTVGUhcag1AEWSYwd6RASH4&sz=w1000
166,Toyota Esquire Hybrid GI Package,2019,DAA-ZWR80G,White,"211,882",1800,R,"Toyota Safety Sense, ETC",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1PbE1KBdFqcNMwNSSswk5Gmjk__Rpw8ap&sz=w1000|https://drive.google.com/thumbnail?id=15UXWek3z1uIdwtIhHY-bKUs7Ad2VS-xA&sz=w1000|https://drive.google.com/thumbnail?id=13qGPDUQDDLq545wzPQdRb25qtZOkXHWa&sz=w1000|https://drive.google.com/thumbnail?id=1aDNzlnk0ryUnIRM81LaPW7c6qrNvNm_o&sz=w1000|https://drive.google.com/thumbnail?id=1OAYfqtv0swE_G8wU6clGFFy1vghgevRB&sz=w1000|https://drive.google.com/thumbnail?id=1wZFAespF9GbPKBxCTQecWlD89YiO4rcS&sz=w1000|https://drive.google.com/thumbnail?id=1FXBIyuIy2wyTbkAL9Xtzgq_WaODjjcuj&sz=w1000|https://drive.google.com/thumbnail?id=1zfclYkYq1Yfyd5fZ6FTDpybHol_W5noJ&sz=w1000,https://drive.google.com/thumbnail?id=1PbE1KBdFqcNMwNSSswk5Gmjk__Rpw8ap&sz=w1000
167,Toyota Premio 1.5F L Package,2019,DBA-NZT260,Pearl,"84,676",1500,R,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1V863oFzEfafyjZ7G3nazPLRbDE8_J6Vp&sz=w1000|https://drive.google.com/thumbnail?id=1e5HOQny_bGePWBxesjzYtoJ0gpzrVQEZ&sz=w1000|https://drive.google.com/thumbnail?id=1LCkaaKz19ND_-QFryQ-_1p1KKi3DHwGt&sz=w1000|https://drive.google.com/thumbnail?id=1tnSW78xePdA3E71bfuW6lC4i6QvOYZ4L&sz=w1000|https://drive.google.com/thumbnail?id=1IfwFTElNH9FXDad9Kl1WK3DFbhosmhmT&sz=w1000|https://drive.google.com/thumbnail?id=1cKKI0bUf-p7-BzJPB3WeHXvLnICL5WpX&sz=w1000|https://drive.google.com/thumbnail?id=1WxRLQTXjSOHt5gQE1isJNqej75Tfd1QB&sz=w1000,https://drive.google.com/thumbnail?id=1V863oFzEfafyjZ7G3nazPLRbDE8_J6Vp&sz=w1000
168,Toyota Corolla Cross Hybrid Z Package,2021,GAA-ZVG11,Pearl,"26,938",1800,R,"Push Start, ETC, Panaromic Monitor, Power Back Door, Half Leather Seat, Seat Heater",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=17crhSzL5N1RxjwZfCEQFqfTTon9r0yD5&sz=w1000|https://drive.google.com/thumbnail?id=1-Qj68QOwMpcqzMsgjljUNtB4qO63u00i&sz=w1000|https://drive.google.com/thumbnail?id=1mB3czlQu1Cgj2v3XIdV-vBx4K2zQb6Fh&sz=w1000|https://drive.google.com/thumbnail?id=1VbyyDFwuW4iYPLCWXMtQFn4wCFr4xPej&sz=w1000|https://drive.google.com/thumbnail?id=1_buwStyHZZY8br75sEPHuxpasrhjsoTx&sz=w1000|https://drive.google.com/thumbnail?id=1hx5qKdUHDVuLluxkhqeF_sXukciNH4Gc&sz=w1000|https://drive.google.com/thumbnail?id=1j5xdJosbxn2VFeJvuUajUetr7EOg6Ewg&sz=w1000|https://drive.google.com/thumbnail?id=13jmm-xZjGZpQtp-2eRUO8Bt7MI0RxWXP&sz=w1000|https://drive.google.com/thumbnail?id=1ftOtiU6VjD9Y8STbwv_kWXibuWWOIFT4&sz=w1000,https://drive.google.com/thumbnail?id=17crhSzL5N1RxjwZfCEQFqfTTon9r0yD5&sz=w1000
169,Toyota Corolla Cross Hybrid Z Package,2021,,Pearl,"75,576",1800,3.5,"Push Start, Power Back Door, Radar Cruise Control, Back Monitor",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1H0t3dHQMY237VN1sRLg30Hl6o328BtCJ&sz=w1000|https://drive.google.com/thumbnail?id=1ZQJQGguuAgPdC2jCq3GU6y_vpydfWRBG&sz=w1000|https://drive.google.com/thumbnail?id=1jxwElBMEuI3xYg1hiVTNKVL20GmQUaip&sz=w1000|https://drive.google.com/thumbnail?id=1hH2Nl0PrMcaUn1T6EbTBPcEn4LhXZ-xa&sz=w1000|https://drive.google.com/thumbnail?id=1NRaankzl6SLDK77CM6nUmSRnbNUyBrrT&sz=w1000|https://drive.google.com/thumbnail?id=1APcOGkMYTosjDUGpAPAHCq35huebHNVn&sz=w1000|https://drive.google.com/thumbnail?id=1veXvLw7NS6GTEa3YM4Txo_Qs8fArA4Qw&sz=w1000|https://drive.google.com/thumbnail?id=19ny5XzvSCcw-DxzKY4PgzeUaeg0Z5rjV&sz=w1000|https://drive.google.com/thumbnail?id=1Vv8hRxAlv-xqezeXF7JMLQL2Mvtwpo0o&sz=w1000|https://drive.google.com/thumbnail?id=1ZnPw6GqPeDLPHVDsR6n4TK93lRM65aHZ&sz=w1000|https://drive.google.com/thumbnail?id=1mAQmxEWGdRKM0amZJbDc3BzAnmgkZE9I&sz=w1000|https://drive.google.com/thumbnail?id=1VkPtMs-CCqomsZkXXw5U_Tis_mn5YuOm&sz=w1000,https://drive.google.com/thumbnail?id=1H0t3dHQMY237VN1sRLg30Hl6o328BtCJ&sz=w1000
170,Toyota Hiace Van Long DX GL Package,2019,CBF-TRH2OOV,Blue,"153,059",2000,3,"Toyota Safety Sense, Passenger Airbag",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1oEGfzywPC8dVrvyWhMU22I7kpuZ-5xYf&sz=w1000|https://drive.google.com/thumbnail?id=1MkOK53RP_Ol6NM7YcaryiUG6H7lhS41c&sz=w1000|https://drive.google.com/thumbnail?id=1wXRz7o-69VfLnSvE3mAPheUz5fCdJKH6&sz=w1000|https://drive.google.com/thumbnail?id=1bEboeaBNxNsptN8ivG-1O6hCuNP10BZ-&sz=w1000|https://drive.google.com/thumbnail?id=1RhX6hozwtit61ipXTLutHnnRGD86JJX5&sz=w1000|https://drive.google.com/thumbnail?id=1uD8CnG2STDz38BPHbEpzxNbqcaxFuwg7&sz=w1000|https://drive.google.com/thumbnail?id=1uj1o9K7rANadDoMoza-kelglpb-PT36y&sz=w1000|https://drive.google.com/thumbnail?id=1SITGpcwj591YyQBzwONmsmTLJvxVekyg&sz=w1000|https://drive.google.com/thumbnail?id=1xYSo7yGP7LM1Ky9sCD8Ezr8BYkbUZMc5&sz=w1000|https://drive.google.com/thumbnail?id=1jm0kNAc0V4TEJBEF9fwywZVVEneeb8ho&sz=w1000|https://drive.google.com/thumbnail?id=1C0zmVE8EtxvaY5n-FqBZ5daexeyOQKTi&sz=w1000|https://drive.google.com/thumbnail?id=1VlicSp5Q5m4L10BvTsgCT79Kliwgouxd&sz=w1000,https://drive.google.com/thumbnail?id=1oEGfzywPC8dVrvyWhMU22I7kpuZ-5xYf&sz=w1000
171,Toyota Noah Hybrid X Package,2019,DAA-ZWR80G,Silver,"135,028",1800,3.5,"Push Start, Toyota Safety Sense",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1d4MpP0C1gsc-SgUw1SaTJRbprekvGved&sz=w1000|https://drive.google.com/thumbnail?id=1HVwqztqlrkU6jc2R-c-y9_iqWqKhmg6u&sz=w1000|https://drive.google.com/thumbnail?id=19tImB9rUJDnMPnQ0lWzGXDfefbjUVOLY&sz=w1000|https://drive.google.com/thumbnail?id=1PNVqUiG0Noitu6DtnYDg_diO6g6dYPFJ&sz=w1000|https://drive.google.com/thumbnail?id=1InWORYUcXvO4NDKRJ_UgAXN4N0HefL4N&sz=w1000|https://drive.google.com/thumbnail?id=1maDranr6GN8gWjcejv5137SAIEobnJQb&sz=w1000,https://drive.google.com/thumbnail?id=1d4MpP0C1gsc-SgUw1SaTJRbprekvGved&sz=w1000
173,Toyota Corolla Axio Hybrid EX Package,2019,NKE165-7226714,White,"170,636",1500,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1539atSu3ctPdUxtUxRGszkmlq3oYzWZf&sz=w1000|https://drive.google.com/thumbnail?id=1rQowRfL8p_uwc6mH6PbdSPLv95WlI-T3&sz=w1000|https://drive.google.com/thumbnail?id=1o5saybE-HmQA33jHNznzVq2ob8x_qDaU&sz=w1000|https://drive.google.com/thumbnail?id=1cip3UjLgpH-o-A2uEasO3SZWVI7BwoWS&sz=w1000|https://drive.google.com/thumbnail?id=1nXOzryoi2Ixn8O941HQEZCaqBwfWVZla&sz=w1000|https://drive.google.com/thumbnail?id=1GdJ_pVexqfhRZq773E-Ilb6nsAgP-0PY&sz=w1000|https://drive.google.com/thumbnail?id=1DVrSVyTSjeFQEz8SE8CKO1gNosb5_cU1&sz=w1000|https://drive.google.com/thumbnail?id=1_LThKxzCNdSWE26wE_SVKHWmSlgzUx68&sz=w1000,https://drive.google.com/thumbnail?id=1539atSu3ctPdUxtUxRGszkmlq3oYzWZf&sz=w1000
174,Toyota Noah Hybrid X Package,2021,,Black,"206,406",1800,,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=18We8fzCYemXUVdRkSZ8eyCje-mbW_Hri&sz=w1000|https://drive.google.com/thumbnail?id=18rvieheb24QudmaK8tbnMANPr03IHpfB&sz=w1000|https://drive.google.com/thumbnail?id=1cnjzeoqSI11DReo4Wthgh8Z9xzWjBFeQ&sz=w1000|https://drive.google.com/thumbnail?id=1l1AFnOSlo09ExOUa5vul_xK-cEZfPkH9&sz=w1000|https://drive.google.com/thumbnail?id=177sjFbPm6OL3wCDvcOFZvlbN-yz8Kr25&sz=w1000|https://drive.google.com/thumbnail?id=102BJ_0Sh0XIX81n5MIle13A4goLzGkK9&sz=w1000|https://drive.google.com/thumbnail?id=1EW-Gnb8w7S_LZgZi57r_Hs1sOOT20Mcb&sz=w1000|https://drive.google.com/thumbnail?id=1ZhYGufzGPgue1oqNbzl9IaasibzJxc00&sz=w1000|https://drive.google.com/thumbnail?id=1GtK3bQCdDMFjejNcWCeRfQ9G0bK0cY6p&sz=w1000,https://drive.google.com/thumbnail?id=18We8fzCYemXUVdRkSZ8eyCje-mbW_Hri&sz=w1000
178,Toyota Esquire Hybrid GI Package,2019,ZWR80-0395084,Black,"179,227",1800,3.5,Auction Debut,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1zVjS1fcioWBBH4y769bjdE0wv3cInaTV&sz=w1000,https://drive.google.com/thumbnail?id=1zVjS1fcioWBBH4y769bjdE0wv3cInaTV&sz=w1000
